 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   1.07955816E-03   84.4111786       438699.188    
   1.11547927E-03   81.6929321       479951.250    
   1.15259562E-03   79.0622253       339438.938    
   1.19094702E-03   76.5162277       570567.063    
   1.23057445E-03   74.0522232       451794.656    
   1.27152051E-03   71.6675644       469633.344    
   1.31382910E-03   69.3596878       454510.594    
   1.35754526E-03   67.1261444       455042.719    
   1.40271615E-03   64.9645157       455068.188    
   1.44939008E-03   62.8724976       468828.344    
   1.49761687E-03   60.8478546       494979.563    
   1.54744845E-03   58.8884048       345973.000    
   1.59893814E-03   56.9920578       412100.594    
   1.65214110E-03   55.1567726       411293.531    
   1.70711428E-03   53.3805962       578980.188    
   1.76391669E-03   51.6616096       396903.938    
   1.82260922E-03   49.9979782       338932.063    
   1.88325450E-03   48.3879204       426422.938    
   1.94591784E-03   46.8297119       444436.719    
   2.01066607E-03   45.3216858       460848.281    
   2.07756879E-03   43.8622169       455918.938    
   2.14669760E-03   42.4497490       354907.813    
   2.21812679E-03   41.0827637       427027.313    
   2.29193270E-03   39.7597961       422261.344    
   2.36819405E-03   38.4794388       434748.531    
   2.44699325E-03   37.2403030       471237.594    
   2.52841436E-03   36.0410767       399054.813    
   2.61254469E-03   34.8804665       504430.031    
   2.69947434E-03   33.7572289       396651.969    
   2.78929621E-03   32.6701660       465083.688    
   2.88210716E-03   31.6181107       485829.125    
   2.97800614E-03   30.5999298       407954.313    
   3.07709607E-03   29.6145344       421584.406    
   3.17948312E-03   28.6608791       505153.250    
   3.28527694E-03   27.7379265       432475.875    
   3.39459116E-03   26.8446980       394285.438    
   3.50754242E-03   25.9802322       422683.031    
   3.62425204E-03   25.1436100       460205.063    
   3.74484528E-03   24.3339214       478376.875    
   3.86945088E-03   23.5503120       468293.719    
   3.99820274E-03   22.7919331       427462.969    
   4.13123844E-03   22.0579796       428650.188    
   4.26870119E-03   21.3476601       414846.313    
   4.41073766E-03   20.6602116       429498.500    
   4.55750013E-03   19.9949017       465367.281    
   4.70914599E-03   19.3510189       406654.750    
   4.86583775E-03   18.7278690       452804.781    
   5.02774352E-03   18.1247864       511943.656    
   5.19503606E-03   17.5411243       463748.375    
   5.36789559E-03   16.9762573       398946.031    
   5.54650649E-03   16.4295807       426937.156    
   5.73106017E-03   15.9005089       503012.500    
   5.92175499E-03   15.3884745       486814.000    
   6.11879490E-03   14.8929291       424023.438    
   6.32239133E-03   14.4133387       501561.844    
   6.53276220E-03   13.9491959       403101.594    
   6.59999996E-03   13.8070879       452784.188    
   6.75013289E-03   13.4999971       444921.625    
   6.89999992E-03   13.2067795       420195.344    
   6.97473623E-03   13.0652647       440427.438    
   7.19999988E-03   12.6564970       406664.063    
   7.20681297E-03   12.6445313       508437.438    
   7.44661223E-03   12.2373466       456257.906    
   7.69439014E-03   11.8432741       449593.656    
   7.95041304E-03   11.4618921       392638.406    
   7.99999945E-03   11.3908472       407723.719    
   8.21495429E-03   11.0927916       17976.6074    
   8.29999987E-03   10.9791288       14797.3037    
   8.48829746E-03   10.7355776       480874.125    
   8.60000029E-03   10.5961361       400980.625    
   8.77073687E-03   10.3898659       440115.281    
   9.06257331E-03   10.0552874       479420.469    
   9.36412066E-03   9.73148251       393614.563    
   9.67570208E-03   9.41810417       433521.750    
   9.69999935E-03   9.39451313       498344.625    
   9.99765098E-03   9.11481857       40447.3672    
   9.99999978E-03   9.11267757       428086.813    
   1.03000002E-02   8.84725952       400006.750    
   1.03303147E-02   8.82129669       472187.656    
   1.06740473E-02   8.53722763       476485.688    
   1.10292174E-02   8.26230621       423801.344    
   1.13962069E-02   7.99623728       422801.844    
   1.17754061E-02   7.73873758       361740.500    
   1.19999992E-02   7.59389830       454214.156    
   1.21672228E-02   7.48952961       53929.8164    
   1.22999996E-02   7.40868092       426265.250    
   1.25720780E-02   7.24834633       355037.813    
   1.26000000E-02   7.23228359       422207.719    
   1.29904039E-02   7.01493025       426116.375    
   1.34226494E-02   6.78903008       446412.156    
   1.38692781E-02   6.57040501       386012.031    
   1.43307671E-02   6.35882044       423871.625    
   1.48076117E-02   6.15404987       414532.094    
   1.52999992E-02   5.95599890       456975.969    
   1.53003233E-02   5.95587254       422450.094    
   1.55999996E-02   5.84146023       394591.063    
   1.58094298E-02   5.76407719       440428.125    
   1.58999991E-02   5.73124409       358817.688    
   1.63354762E-02   5.57845879       392482.219    
   1.68790258E-02   5.39881754       361098.813    
   1.74406618E-02   5.22496080       387251.063    
   1.80209856E-02   5.05670309       359926.469    
   1.86206196E-02   4.89386368       396992.125    
   1.92402061E-02   4.73626852       385277.531    
   1.98804103E-02   4.58374739       387321.438    
   2.01000012E-02   4.53366995       381439.688    
   2.04000007E-02   4.46699858       30509.3672    
   2.05419138E-02   4.43613863       399980.531    
   2.07000002E-02   4.40225983       378723.313    
   2.12254301E-02   4.29328251       397351.813    
   2.19316892E-02   4.15502739       421557.000    
   2.26614475E-02   4.02122498       385265.063    
   2.34154910E-02   3.89173055       384290.281    
   2.41946224E-02   3.76640582       430639.406    
   2.49996781E-02   3.64511800       358291.250    
   2.58315243E-02   3.52773499       364290.156    
   2.66910475E-02   3.41413283       350703.063    
   2.74999999E-02   3.31370068       338533.750    
   2.75791697E-02   3.30418849       395486.344    
   2.77999993E-02   3.27794147       393475.906    
   2.80999988E-02   3.24294591       377282.531    
   2.84968466E-02   3.19778442       383908.563    
   2.94450559E-02   3.09480739       393711.188    
   3.04248165E-02   2.99514627       381709.469    
   3.14371772E-02   2.89869475       391032.375    
   3.24832238E-02   2.80534887       385412.438    
   3.35640796E-02   2.71500874       390179.156    
   3.46808955E-02   2.62757850       347928.000    
   3.58348750E-02   2.54296350       361431.344    
   3.70272547E-02   2.46107292       337558.219    
   3.82593051E-02   2.38181973       356827.188    
   3.95323560E-02   2.30511880       316311.469    
   3.96999978E-02   2.29538488       415162.125    
   3.99999991E-02   2.27816939       433684.406    
   4.03000005E-02   2.26121020       413492.625    
   4.08477634E-02   2.23088765       412193.844    
   4.22069393E-02   2.15904713       389314.813    
   4.36113402E-02   2.08951998       398968.531    
   4.50624749E-02   2.02223182       400743.406    
   4.65618894E-02   1.95711076       380762.563    
   4.81112003E-02   1.89408648       377916.063    
   4.97120656E-02   1.83309162       371959.469    
   5.13661951E-02   1.77406120       354770.563    
   5.30753620E-02   1.71693170       352269.125    
   5.48414029E-02   1.66164184       341675.906    
   5.66662066E-02   1.60813260       333216.375    
   5.85517325E-02   1.55634642       327761.219    
   6.04999922E-02   1.50622785       319298.406    
   6.21999986E-02   1.46506059       325600.469    
   6.25000000E-02   1.45802844       30144.3516    
   6.25130832E-02   1.45772326       489867.094    
   6.27999976E-02   1.45106339       482888.406    
   6.45931587E-02   1.41078055       423374.250    
   6.67424425E-02   1.36534977       435626.625    
   6.89632446E-02   1.32138169       418313.594    
   7.12579414E-02   1.27882969       399352.563    
   7.36289918E-02   1.23764801       401034.844    
   7.60789365E-02   1.19779241       391909.188    
   7.86104053E-02   1.15922022       381646.250    
   8.12261030E-02   1.12189019       382284.875    
   8.39288384E-02   1.08576238       361632.344    
   8.67215097E-02   1.05079782       348800.063    
   8.96070898E-02   1.01695931       328146.313    
   9.25887004E-02  0.984210551       313798.031    
   9.56695154E-02  0.952516377       311226.188    
   9.88528430E-02  0.921842754       304328.969    
  0.102142081      0.892157018       303399.750    
  0.105540760      0.863427341       298507.063    
  0.109052531      0.835622787       291950.781    
  0.110870004      0.821924567       102512.883    
  0.111170001      0.819706500       622445.625    
  0.111469999      0.817500412       612049.125    
  0.112681150      0.808713615       600016.438    
  0.115800001      0.786932409       588775.188    
  0.116099998      0.784898996       550538.688    
  0.116399996      0.782876074       513994.594    
  0.116430506      0.782670975       602193.125    
  0.120304629      0.757466912       557637.313    
  0.122180000      0.745840371       557800.875    
  0.122479998      0.744013548       534809.250    
  0.122779995      0.742195606       560647.813    
  0.124307647      0.733074546       533693.313    
  0.128443867      0.709467709       495207.531    
  0.132717729      0.686620891       483261.563    
  0.137019992      0.665061891       466507.938    
  0.137133777      0.664510012       355032.313    
  0.137319997      0.663608909       482482.719    
  0.137620002      0.662162304       471925.250    
  0.141696781      0.643111110       441973.125    
  0.146411598      0.622401357       427263.000    
  0.151283324      0.602358401       406698.313    
  0.156317130      0.582960904       391099.719    
  0.161518425      0.564188123       379653.156    
  0.166892782      0.546019852       354472.125    
  0.172445983      0.528436661       348190.813    
  0.178183973      0.511419594       331893.469    
  0.184112877      0.494950533       324337.969    
  0.190239042      0.479011983       304585.063    
  0.196569055      0.463586599       299909.219    
  0.203109711      0.448657870       288426.500    
  0.209867984      0.434209973       280413.969    
  0.216851145      0.420227349       275181.688    
  0.224066675      0.406694919       271098.969    
  0.231522277      0.393598318       263169.438    
  0.239225969      0.380923420       257793.328    
  0.247185990      0.368656725       257537.109    
  0.247329995      0.368442059       233812.375    
  0.247630000      0.367995709       323574.031    
  0.247930005      0.367550433       291786.750    
  0.249639988      0.365032762       301177.563    
  0.249939993      0.364594638       1298789.75    
  0.250239998      0.364157528       1275575.38    
  0.255410880      0.356784999       1208639.63    
  0.263909429      0.345295638       1100968.63    
  0.266000003      0.342581838       1086803.25    
  0.266299993      0.342195928       1119082.38    
  0.266599983      0.341810882       1144709.63    
  0.272690773      0.334176213       1098653.13    
  0.281764269      0.323414922       966629.188    
  0.291139692      0.313000172       890531.125    
  0.291590005      0.312516809       855342.250    
  0.291889995      0.312195599       939310.000    
  0.292189986      0.311875075       877850.063    
  0.300827116      0.302920729       810168.750    
  0.310836852      0.293165922       738362.688    
  0.321179658      0.283725232       688236.125    
  0.331866592      0.274588555       625680.375    
  0.342909157      0.265746117       571724.188    
  0.354319125      0.257188410       544363.688    
  0.366108775      0.248906285       507091.656    
  0.378290713      0.240890861       479549.563    
  0.390877962      0.233133554       453465.938    
  0.403884053      0.225626081       454463.875    
  0.417322904      0.218360350       437805.938    
  0.431208938      0.211328581       430822.469    
  0.445556998      0.204523250       423603.844    
  0.460382491      0.197937101       1590592.75    
  0.475701302      0.191563010       1647236.13    
  0.491529822      0.185394183       1789616.13    
  0.507885039      0.179424018       1807143.50    
  0.524784446      0.173646092       2105544.50    
  0.542246103      0.168054283       1958183.13    
  0.560288787      0.162642494       3032386.00    
  0.578931868      0.157405004       2360332.75    
  0.598195314      0.152336150       1916416.00    
  0.618099749      0.147430524       2838072.00    
  0.638666451      0.142682880       2824388.75    
  0.659917474      0.138088137       2286850.75    
  0.681875587      0.133641347       2231228.50    
  0.704564393      0.129337743       1988675.25    
  0.728008151      0.125172749       2051132.75    
  0.752231956      0.121141851       2108002.25    
  0.761145711      0.119723171       2158040.50    
  0.761445701      0.119675994       2208956.50    
  0.761745691      0.119628876       2109897.75    
  0.777261794      0.117240772       1989234.25    
  0.803124428      0.113465324       2149414.75    
  0.827294469      0.110150337       2161290.25    
  0.827594459      0.110110424       2438169.50    
  0.827894449      0.110070527       2359318.50    
  0.829847693      0.109811448       2365682.00    
  0.857460141      0.106275231       2320851.50    
  0.885991335      0.102852903       2408113.25    
  0.915471911       9.95407626E-02   2391963.00    
  0.945933402       9.63352993E-02   2512066.75    
  0.977408469       9.32330489E-02   2533654.25    
  0.999134004       9.12057534E-02   1603865.75    
  0.999433994       9.11783800E-02   2411193.50    
  0.999733984       9.11510214E-02   2355346.75    
   1.00075114       9.10583735E-02   2252881.50    
   1.00105119       9.10310820E-02   2206264.25    
   1.00135124       9.10038128E-02   2245214.75    
   1.00993085       9.02307034E-02   2017243.25    
   1.04353535       8.73250514E-02   1707584.88    
   1.06763482       8.53538737E-02   1487759.38    
   1.06793487       8.53299052E-02   1467099.88    
   1.06823492       8.53059292E-02   1577326.13    
   1.07825804       8.45129564E-02   1558079.25    
   1.11413610       8.17914233E-02   1483156.13    
   1.15120792       7.91575238E-02   1487881.13    
   1.15803826       7.86906481E-02   1451404.25    
   1.15833831       7.86702633E-02   1415424.50    
   1.15863836       7.86498785E-02   1416989.25    
   1.18951333       7.66084492E-02   1401319.00    
   1.22909331       7.41414651E-02   1461535.50    
   1.26999032       7.17539117E-02   1468997.00    
   1.31224811       6.94432482E-02   1536549.63    
   1.35591197       6.72069937E-02   1596186.25    
   1.40102863       6.50427565E-02   1691310.25    
   1.44764662       6.29482195E-02   2495978.00    
   1.49581575       6.09211214E-02   1796108.50    
   1.54558766       5.89593053E-02   1818666.50    
   1.58433020       5.75175360E-02   1796614.25    
   1.58463025       5.75066507E-02   1777143.13    
   1.58493030       5.74957617E-02   1825228.25    
   1.59701574       5.70606589E-02   1681440.50    
   1.65015507       5.52231595E-02   1717072.88    
   1.70506251       5.34448288E-02   1931916.13    
   1.71442270       5.31530380E-02   1918476.25    
   1.71472275       5.31437360E-02   1945648.75    
   1.71502280       5.31344414E-02   2001242.13    
   1.76179695       5.17237671E-02   1942632.75    
   1.79159629       5.08634560E-02   1882651.88    
   1.79189634       5.08549362E-02   1932167.88    
   1.79219639       5.08464240E-02   2053531.00    
   1.80773997       5.04092276E-02   2193052.00    
   1.80804002       5.04008569E-02   2134370.25    
   1.80834007       5.03925011E-02   2254311.75    
   1.82041907       5.00581302E-02   2188999.75    
   1.88099182       4.84461300E-02   2127239.75    
   1.94358015       4.68860380E-02   2080871.25    
   2.00825095       4.53761928E-02   2087671.00    
   2.03046679       4.48797159E-02   1852195.50    
   2.03076673       4.48730923E-02   1984631.75    
   2.03106666       4.48664650E-02   2148365.25    
   2.07507348       4.39149626E-02   2562883.75    
   2.14411950       4.25007902E-02   2611701.75    
   2.17525935       4.18923721E-02   2147839.25    
   2.17555928       4.18865979E-02   3625404.75    
   2.17585921       4.18808199E-02   2006451.88    
   2.21546316       4.11321558E-02   1919590.63    
   2.28918052       3.98075953E-02   1215940.25    
   2.36535096       3.85256894E-02   505984.094    
   2.44405580       3.72850634E-02   1164674.13    
   2.52537942       3.60843912E-02   766587.563    
   2.55965710       3.56011651E-02   1547972.25    
   2.55995703       3.55969965E-02   1539603.00    
   2.56025696       3.55928242E-02   1349831.63    
   2.58097148       3.53071578E-02   890060.375    
   2.58127141       3.53030562E-02   1168751.25    
   2.58157134       3.52989584E-02   1070054.25    
   2.60940909       3.49223800E-02   773668.688    
   2.69623470       3.37977894E-02   922425.063    
   2.78594947       3.27094123E-02   825597.688    
   2.87864923       3.16560902E-02   258142.516    
   2.97443366       3.06366812E-02   99987.8594    
   2.99403405       3.04361172E-02   185162.875    
   2.99433398       3.04330681E-02   152836.672    
   2.99463391       3.04300189E-02   65843.1875    
