  Optical depth from the centre to the edge of the nubula 
  direction: 1,0,0
  lambda [um]    tau(R_max) 
   7.43663406       0.00000000    
   7.40868092       0.00000000    
   7.23228359       0.00000000    
   7.20013809       0.00000000    
   6.97116280       0.00000000    
   6.74946976       0.00000000    
   6.53482676       0.00000000    
   6.32700968       0.00000000    
   6.12580156       0.00000000    
   5.95599890       0.00000000    
   5.93099213       0.00000000    
   5.84146023       0.00000000    
   5.74237728       0.00000000    
   5.73124409       0.00000000    
   5.55976152       0.00000000    
   5.38295317       0.00000000    
   5.21176672       0.00000000    
   5.04602528       0.00000000    
   4.88555431       0.00000000    
   4.73018646       0.00000000    
   4.57975960       0.00000000    
   4.53366995       0.00000000    
   4.46699858       0.00000000    
   4.43411636       0.00000000    
   4.40225983       0.00000000    
   4.29310513       0.00000000    
   4.15657759       0.00000000    
   4.02439260       0.00000000    
   3.89641118       0.00000000    
   3.77249932       0.00000000    
   3.65252829       0.00000000    
   3.53637266       0.00000000    
   3.42391062       0.00000000    
   3.31502533       0.00000000    
   3.31370091       0.00000000    
   3.27794170       0.00000000    
   3.24294591       0.00000000    
   3.20960259       0.00000000    
   3.10753250       0.00000000    
   3.00870848       0.00000000    
   2.91302705       0.00000000    
   2.82038832       0.00000000    
   2.73069596       0.00000000    
   2.64385581       0.00000000    
   2.55977726       0.00000000    
   2.47837257       0.00000000    
   2.39955664       0.00000000    
   2.32324743       0.00000000    
   2.29538488       0.00000000    
   2.27816939       0.00000000    
   2.26121020       0.00000000    
   2.24936461       0.00000000    
   2.17783141       0.00000000    
   2.10857320       0.00000000    
   2.04151750       0.00000000    
   1.97659421       0.00000000    
   1.91373563       0.00000000    
   1.85287595       0.00000000    
   1.79395175       0.00000000    
   1.73690152       0.00000000    
   1.68166542       0.00000000    
   1.62818611       0.00000000    
   1.57640731       0.00000000    
   1.52627528       0.00000000    
   1.47773743       0.00000000    
   1.46506071       0.00000000    
   1.45802844       0.00000000    
   1.45106339       0.00000000    
   1.43074322       0.00000000    
   1.38524354       0.00000000    
   1.34119070       0.00000000    
   1.29853892       0.00000000    
   1.25724339       0.00000000    
   1.21726120       0.00000000    
   1.17855048       0.00000000    
   1.14107084       0.00000000    
   1.10478318       0.00000000    
   1.06964934       0.00000000    
   1.03563297       0.00000000    
   1.00269830       0.00000000    
  0.970811009       0.00000000    
  0.939937770       0.00000000    
  0.910046399       0.00000000    
  0.881105602       0.00000000    
  0.853085160       0.00000000    
  0.825955808       0.00000000    
  0.821924508       0.00000000    
  0.819706500       0.00000000    
  0.817500472       0.00000000    
  0.799689174       0.00000000    
  0.786932409       0.00000000    
  0.784898996       0.00000000    
  0.782876074       0.00000000    
  0.774257898       0.00000000    
  0.749635339       0.00000000    
  0.745840371       0.00000000    
  0.744013548       0.00000000    
  0.742195606       0.00000000    
  0.725795865       0.00000000    
  0.702714384       0.00000000    
  0.680367112       0.00000000    
  0.665061891       0.00000000    
  0.663608909       0.00000000    
  0.662162304       0.00000000    
  0.658730447       0.00000000    
  0.637781799       0.00000000    
  0.617499411       0.00000000    
  0.597862065       0.00000000    
  0.578849137       0.00000000    
  0.560440898       0.00000000    
  0.542618036       0.00000000    
  0.525362015       0.00000000    
  0.508654654       0.00000000    
  0.492478728       0.00000000    
  0.476817161       0.00000000    
  0.461653709       0.00000000    
  0.446972400       0.00000000    
  0.432758033       0.00000000    
  0.418995678       0.00000000    
  0.405671030       0.00000000    
  0.392770082       0.00000000    
  0.380279422       0.00000000    
  0.368442059       0.00000000    
  0.368185967       0.00000000    
  0.367995709       0.00000000    
  0.367550403       0.00000000    
  0.365032762       0.00000000    
  0.364594609       0.00000000    
  0.364157498       0.00000000    
  0.356477141       0.00000000    
  0.345140636       0.00000000    
  0.342581868       0.00000000    
  0.342195928       0.00000000    
  0.341810882       0.00000000    
  0.334164619       0.00000000    
  0.323537678       0.00000000    
  0.313248724       0.00000000    
  0.312516809       0.00000000    
  0.312195599       0.00000000    
  0.311875075       0.00000000    
  0.303286940       0.00000000    
  0.293641984       0.00000000    
  0.284303725       0.00000000    
  0.275262475       0.00000000    
  0.266508698       0.00000000    
  0.258033335       0.00000000    
