 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   1.00099996E-05   9103.57422       0.00000000    
   1.03387874E-05   8814.06836       0.00000000    
   1.06783791E-05   8533.76465       0.00000000    
   1.10291239E-05   8262.37695       0.00000000    
   1.13913902E-05   7999.61816       0.00000000    
   1.17655554E-05   7745.21631       0.00000000    
   1.21520106E-05   7498.90527       0.00000000    
   1.25511588E-05   7260.42725       180695.781    
   1.29634182E-05   7029.53271       0.00000000    
   1.33892190E-05   6805.98145       0.00000000    
   1.38290052E-05   6589.53955       0.00000000    
   1.42832369E-05   6379.98047       0.00000000    
   1.47523888E-05   6177.08594       0.00000000    
   1.52369503E-05   5980.64404       0.00000000    
   1.57374270E-05   5790.44922       0.00000000    
   1.62543438E-05   5606.30273       0.00000000    
   1.67882390E-05   5428.01270       0.00000000    
   1.73396711E-05   5255.39209       0.00000000    
   1.79092149E-05   5088.26172       0.00000000    
   1.84974670E-05   4926.44629       0.00000000    
   1.91050403E-05   4769.77637       0.00000000    
   1.97325699E-05   4618.08936       0.00000000    
   2.03807122E-05   4471.22607       111278.688    
   2.10501439E-05   4329.03320       0.00000000    
   2.17415636E-05   4191.36230       0.00000000    
   2.24556934E-05   4058.06982       100996.320    
   2.31932790E-05   3929.01636       0.00000000    
   2.39550936E-05   3804.06665       0.00000000    
   2.47419302E-05   3683.09082       0.00000000    
   2.55546111E-05   3565.96216       0.00000000    
   2.63939855E-05   3452.55835       85926.4219    
   2.72609304E-05   3342.76099       0.00000000    
   2.81563516E-05   3236.45532       0.00000000    
   2.90811840E-05   3133.53052       0.00000000    
   3.00363936E-05   3033.87866       0.00000000    
   3.10229771E-05   2937.39624       73105.2109    
   3.20419676E-05   2843.98193       0.00000000    
   3.30944276E-05   2753.53833       0.00000000    
   3.41814593E-05   2665.97095       0.00000000    
   3.53041942E-05   2581.18823       0.00000000    
   3.64638072E-05   2499.10205       0.00000000    
   3.76615062E-05   2419.62646       0.00000000    
   3.88985500E-05   2342.67798       0.00000000    
   4.01762227E-05   2268.17676       56449.8438    
   4.14958631E-05   2196.04492       0.00000000    
   4.28588501E-05   2126.20679       0.00000000    
   4.42666023E-05   2058.58984       0.00000000    
   4.57205970E-05   1993.12305       49604.3242    
   4.72223510E-05   1929.73816       0.00000000    
   4.87734324E-05   1868.36914       0.00000000    
   5.03754600E-05   1808.95166       0.00000000    
   5.20301073E-05   1751.42395       0.00000000    
   5.37391024E-05   1695.72571       0.00000000    
   5.55042352E-05   1641.79858       0.00000000    
   5.73273428E-05   1589.58655       79122.4844    
   5.92103352E-05   1539.03491       0.00000000    
   6.11551732E-05   1490.09106       0.00000000    
   6.31638977E-05   1442.70349       35905.6016    
   6.52386007E-05   1396.82300       0.00000000    
   6.73814429E-05   1352.40161       0.00000000    
   6.95946801E-05   1309.39282       0.00000000    
   7.18806041E-05   1267.75195       0.00000000    
   7.42416159E-05   1227.43518       0.00000000    
   7.66801822E-05   1188.40063       0.00000000    
   7.91988423E-05   1150.60742       28636.0449    
   8.18002300E-05   1114.01611       55450.7188    
   8.44870665E-05   1078.58850       26843.6426    
   8.72621531E-05   1044.28748       25989.9727    
   9.01283929E-05   1011.07733       0.00000000    
   9.30887836E-05   978.923279       0.00000000    
   9.61464029E-05   947.791809       23588.4102    
   9.93044596E-05   917.650391       0.00000000    
   1.02566242E-04   888.467529       66336.4844    
   1.05935105E-04   860.213196       21409.1426    
   1.09414621E-04   832.857361       0.00000000    
   1.13008427E-04   806.371521       20069.1113    
   1.16720272E-04   780.727905       19430.8848    
   1.20554039E-04   755.899780       0.00000000    
   1.24513797E-04   731.860840       18214.3711    
   1.28603613E-04   708.586426       17635.1172    
   1.32827772E-04   686.052124       17074.2930    
   1.37190669E-04   664.234497       16531.3164    
   1.41696873E-04   643.110718       16005.7227    
   1.46351013E-04   622.658997       0.00000000    
   1.51158019E-04   602.857666       0.00000000    
   1.56122915E-04   583.686096       0.00000000    
   1.61250893E-04   565.124146       0.00000000    
   1.66547383E-04   547.152222       27235.0000    
   1.72017768E-04   529.752075       0.00000000    
   1.77667913E-04   512.905090       25530.1367    
   1.83503638E-04   496.593842       12359.2178    
   1.89530954E-04   480.801544       11966.2598    
   1.95756249E-04   465.511444       11585.6230    
   2.02186115E-04   450.707397       22434.1855    
   2.08827187E-04   436.374084       21720.7500    
   2.15686377E-04   422.496674       31545.2695    
   2.22770759E-04   409.060760       20361.5508    
   2.30087826E-04   396.052124       9857.01563    
   2.37645232E-04   383.457184       19087.0801    
   2.45450879E-04   371.262787       18479.9453    
   2.53513019E-04   359.455994       8946.12891    
   2.61839858E-04   348.024841       8661.61816    
   2.70440330E-04   336.957031       8386.10840    
   2.79323285E-04   326.241241       8119.48926    
   2.88497860E-04   315.866394       39306.6563    
   2.97973806E-04   305.821442       22833.8008    
   3.07761133E-04   296.095795       7369.23047    
   3.17869766E-04   286.679596       14269.8613    
   3.28310445E-04   277.562836       13816.0498    
   3.39094055E-04   268.735992       20064.8672    
   3.50232032E-04   260.189728       0.00000000    
   3.61735671E-04   251.915375       12539.3203    
   3.73617338E-04   243.904037       6070.27686    
   3.85889085E-04   236.147583       17631.8457    
   3.98563890E-04   228.637802       22761.5078    
   4.11655026E-04   221.366852       0.00000000    
   4.25176142E-04   214.327118       21336.6484    
   4.39141615E-04   207.511139       10328.9688    
   4.53565794E-04   200.911926       10000.4932    
   4.68463753E-04   194.522568       24206.1426    
   4.83851065E-04   188.336411       23436.3379    
   4.99743794E-04   182.346985       9076.41113    
   5.16158529E-04   176.548035       21969.4121    
   5.33112441E-04   170.933502       8508.30957    
   5.50623168E-04   165.497528       28832.3066    
   5.68708812E-04   160.234497       3987.94312    
   5.87388466E-04   155.138855       15444.4902    
   6.06681686E-04   150.205246       14953.3262    
   6.26608613E-04   145.428543       10858.2559    
   6.47190376E-04   140.803665       28034.5547    
   6.68447814E-04   136.325943       6785.80322    
   6.90403511E-04   131.990601       3284.97559    
   7.13080692E-04   127.793076       19083.0742    
   7.36502348E-04   123.729103       15396.9521    
   7.60693336E-04   119.794365       11925.7373    
   7.85679324E-04   115.984695       17319.5840    
   8.11485981E-04   112.296181       16768.7930    
   8.38140317E-04   108.724960       18941.4453    
   8.65670096E-04   105.267326       15719.3516    
   8.94103665E-04   101.919701       12682.9736    
   9.23471176E-04   98.6785278       12279.5361    
   9.53803770E-04   95.5403824       4755.61230    
   9.85132181E-04   92.5020752       16115.4482    
   1.01748959E-03   89.5604019       11144.8799    
   1.05091033E-03   86.7122269       17264.7305    
   1.08542829E-03   83.9546738       20894.7656    
   1.12108001E-03   81.2848053       12138.0732    
   1.15790335E-03   78.6998138       3917.32104    
   1.19593623E-03   76.1970215       13274.6133    
   1.23521825E-03   73.7738266       12852.5732    
   1.27578992E-03   71.4277267       12443.9365    
   1.31769420E-03   69.1562347       20653.8926    
   1.36097556E-03   66.9569550       4999.26563    
   1.40567787E-03   64.8276367       6453.70996    
   1.45184912E-03   62.7660103       12496.9541    
   1.49953621E-03   60.7699738       7562.26855    
   1.54878956E-03   58.8374138       7321.77979    
   1.59966073E-03   56.9663124       15595.6523    
   1.65220280E-03   55.1547165       9608.81543    
   1.70647155E-03   53.4006996       7974.20752    
   1.76252192E-03   51.7024918       15441.2305    
   1.82041421E-03   50.0582619       13704.3340    
   1.88020710E-03   48.4663506       9649.82422    
   1.94196496E-03   46.9250336       10510.7344    
   2.00575124E-03   45.4327393       10176.5664    
   2.07163161E-03   43.9879227       7663.45459    
   2.13967590E-03   42.5890541       9539.67383    
   2.20995513E-03   41.2346725       11288.8018    
   2.28254288E-03   39.9233589       10929.7080    
   2.35751597E-03   38.6537247       14430.0586    
   2.43495172E-03   37.4244690       16765.3867    
   2.51493091E-03   36.2343063       16232.2207    
   2.59753712E-03   35.0819893       12223.5713    
   2.68285652E-03   33.9663239       10989.5967    
   2.77097686E-03   32.8861542       12277.1406    
   2.86199176E-03   31.8403339       15056.3672    
   2.95599760E-03   30.8277569       12275.8389    
   3.05308960E-03   29.8473969       10399.7646    
   3.15337232E-03   28.8981972       13665.0137    
   3.25694890E-03   27.9791851       13230.4453    
   3.36392759E-03   27.0893974       14158.2021    
   3.47441831E-03   26.2279224       13055.2988    
   3.58853815E-03   25.3938427       8216.08203    
   3.70640634E-03   24.5862885       11626.2461    
   3.82814603E-03   23.8044147       17773.4473    
   3.95388436E-03   23.0474052       10898.4453    
   4.08375496E-03   22.3144569       11662.4922    
   4.21789102E-03   21.6048203       13442.5068    
   4.35643084E-03   20.9177608       11453.2998    
   4.49952111E-03   20.2525501       10584.9365    
   4.64731362E-03   19.6084843       15128.4717    
   4.79995832E-03   18.9849091       11812.3828    
   4.95761912E-03   18.3811569       12809.1553    
   5.12045575E-03   17.7966137       15502.3848    
   5.28864097E-03   17.2306595       12865.1875    
   5.46235032E-03   16.6827049       9964.76270    
   5.64176822E-03   16.1521664       14873.8096    
   5.82707627E-03   15.6385069       14790.1299    
   6.01847097E-03   15.1411839       12435.5996    
   6.21615211E-03   14.6596756       15688.6592    
   6.42032642E-03   14.1934795       11077.0947    
   6.59999996E-03   13.8070869       19467.1016    
   6.63121045E-03   13.7421026       7065.32080    
   6.84902119E-03   13.3050804       16364.2480    
   6.89999992E-03   13.2067795       12382.9844    
   7.07398634E-03   12.8819551       9774.52832    
   7.19999988E-03   12.6564970       11358.1826    
   7.30634062E-03   12.4722862       8043.66504    
   7.54632708E-03   12.0756464       15026.7949    
   7.79419579E-03   11.6916199       15512.6553    
   7.99999945E-03   11.3908472       7445.24805    
   8.05020239E-03   11.3198118       8797.06152    
   8.29999987E-03   10.9791298       1663.47095    
   8.31462163E-03   10.9598217       12229.7705    
   8.58772639E-03   10.6112804       9247.79102    
   8.60000029E-03   10.5961361       11435.2617    
   8.86980072E-03   10.2738247       12280.5293    
   9.16113611E-03   9.94710445       13863.6455    
   9.46204085E-03   9.63077354       12516.0273    
   9.69999935E-03   9.39451313       11322.1152    
   9.77283344E-03   9.32449913       10751.9639    
   9.99999978E-03   9.11267757       2283.77563    
   1.00938324E-02   9.02796555       9774.51270    
   1.03000002E-02   8.84725952       13709.1211    
   1.04253748E-02   8.74086285       10969.5400    
   1.07678073E-02   8.46289063       11163.0869    
   1.11214863E-02   8.19375896       12439.4863    
   1.14867836E-02   7.93318462       13228.5381    
   1.18640782E-02   7.68089819       9427.60156    
   1.19999992E-02   7.59389830       13168.5654    
   1.22537659E-02   7.43663406       1466.17700    
   1.22999996E-02   7.40868092       11857.0117    
   1.26000000E-02   7.23228359       9877.30078    
   1.26562538E-02   7.20013809       12115.6035    
   1.30719617E-02   6.97116280       10062.8877    
   1.35013238E-02   6.74946976       8902.97852    
   1.39447879E-02   6.53482676       10246.2393    
   1.44028189E-02   6.32700968       11337.5820    
   1.48758944E-02   6.12580156       10622.3584    
   1.52999992E-02   5.95599890       10502.4229    
   1.53645081E-02   5.93099213       11240.6895    
   1.55999996E-02   5.84146023       11330.5068    
   1.58691723E-02   5.74237728       11240.7246    
   1.58999991E-02   5.73124409       15752.1025    
   1.63904112E-02   5.55976152       12541.5596    
   1.69287696E-02   5.38295317       12459.2871    
   1.74848139E-02   5.21176672       11155.0859    
   1.80591196E-02   5.04602528       9418.90820    
   1.86522901E-02   4.88555431       10092.0977    
   1.92649439E-02   4.73018646       11890.2109    
   1.98977198E-02   4.57975960       10885.8584    
   2.01000012E-02   4.53366995       11384.2686    
   2.04000007E-02   4.46699858       974.680725    
   2.05512810E-02   4.43411636       11240.7246    
   2.07000002E-02   4.40225983       8470.90625    
   2.12263092E-02   4.29310513       11504.0586    
   2.19235104E-02   4.15657759       11069.0273    
   2.26436090E-02   4.02439260       11618.4551    
   2.33873613E-02   3.89641118       10958.0332    
   2.41555441E-02   3.77249932       11830.1045    
   2.49489583E-02   3.65252829       10817.5840    
   2.57684309E-02   3.53637266       10649.5908    
   2.66148224E-02   3.42391062       9203.12891    
   2.74890140E-02   3.31502533       10600.7588    
   2.74999999E-02   3.31370091       8486.32227    
   2.77999993E-02   3.27794170       12462.5508    
   2.80999988E-02   3.24294591       12384.9736    
   2.83919182E-02   3.20960259       10896.2461    
   2.93244794E-02   3.10753250       11136.9795    
   3.02876718E-02   3.00870848       11306.9590    
   3.12825032E-02   2.91302705       10367.3867    
   3.23100090E-02   2.82038832       10248.2891    
   3.33712623E-02   2.73069596       10262.1768    
   3.44673768E-02   2.64385581       8817.21973    
   3.55994925E-02   2.55977726       9428.73047    
   3.67687941E-02   2.47837257       9252.24121    
   3.79765034E-02   2.39955664       9555.20996    
   3.92238796E-02   2.32324743       9187.58301    
   3.96999978E-02   2.29538488       10767.9619    
   3.99999991E-02   2.27816939       9774.48535    
   4.03000005E-02   2.26121020       8587.01758    
   4.05122302E-02   2.24936461       10167.9756    
   4.18428965E-02   2.17783141       11111.3574    
   4.32172678E-02   2.10857320       11492.7012    
   4.46367823E-02   2.04151750       10161.8232    
   4.61029261E-02   1.97659421       10281.4014    
   4.76172231E-02   1.91373563       9621.04004    
   4.91812602E-02   1.85287595       10975.1982    
   5.07966690E-02   1.79395175       10447.5791    
   5.24651371E-02   1.73690152       9985.64746    
   5.41884080E-02   1.68166542       10630.7178    
   5.59682809E-02   1.62818611       10616.8154    
   5.78066185E-02   1.57640731       8906.00586    
   5.97053356E-02   1.52627528       9686.39844    
   6.16664179E-02   1.47773743       8169.39453    
