# 1st column: lambda / Angstroem 100 - 2000
# 2nd column: log f_lambda [erg / s / cm^2 / Angstroem]
   102.308       -26.0974    
   102.318       -26.0931    
   102.329       -26.0891    
   102.339       -26.0853    
   102.349       -26.0817    
   102.359       -26.0781    
   102.370       -26.0745    
   102.380       -26.0710    
   102.390       -26.0675    
   102.400       -26.0640    
   102.411       -26.0603    
   102.421       -26.0568    
   102.431       -26.0534    
   102.441       -26.0502    
   102.452       -26.0473    
   102.462       -26.0445    
   102.472       -26.0418    
   102.482       -26.0392    
   102.493       -26.0365    
   102.503       -26.0339    
   102.513       -26.0314    
   102.523       -26.0290    
   102.534       -26.0266    
   102.544       -26.0244    
   102.554       -26.0224    
   102.565       -26.0205    
   102.575       -26.0188    
   102.585       -26.0170    
   102.595       -26.0152    
   102.606       -26.0131    
   102.616       -26.0109    
   102.626       -26.0087    
   102.636       -26.0064    
   102.647       -26.0040    
   102.657       -26.0015    
   102.667       -25.9990    
   102.678       -25.9964    
   102.688       -25.9937    
   102.698       -25.9909    
   102.708       -25.9880    
   102.719       -25.9850    
   102.729       -25.9819    
   102.739       -25.9786    
   102.749       -25.9750    
   102.760       -25.9714    
   102.770       -25.9675    
   102.780       -25.9634    
   102.791       -25.9592    
   102.801       -25.9550    
   102.811       -25.9507    
   102.821       -25.9464    
   102.832       -25.9421    
   102.842       -25.9377    
   102.852       -25.9332    
   102.863       -25.9288    
   102.873       -25.9243    
   102.883       -25.9199    
   102.894       -25.9154    
   102.904       -25.9108    
   102.914       -25.9062    
   102.924       -25.9014    
   102.935       -25.8967    
   102.945       -25.8920    
   102.955       -25.8875    
   102.966       -25.8832    
   102.976       -25.8791    
   102.986       -25.8749    
   102.997       -25.8706    
   103.007       -25.8660    
   103.017       -25.8611    
   103.028       -25.8560    
   103.038       -25.8509    
   103.048       -25.8461    
   103.058       -25.8416    
   103.069       -25.8375    
   103.079       -25.8335    
   103.089       -25.8294    
   103.100       -25.8251    
   103.110       -25.8205    
   103.120       -25.8156    
   103.131       -25.8100    
   103.141       -25.8034    
   103.151       -25.7953    
   103.162       -25.7852    
   103.172       -25.7731    
   103.182       -25.7595    
   103.193       -25.7452    
   103.203       -25.7309    
   103.213       -25.7167    
   103.224       -25.7026    
   103.234       -25.6880    
   103.244       -25.6732    
   103.255       -25.6588    
   103.265       -25.6457    
   103.275       -25.6343    
   103.286       -25.6245    
   103.296       -25.6153    
   103.306       -25.6050    
   103.317       -25.5920    
   103.327       -25.5758    
   103.337       -25.5568    
   103.348       -25.5363    
   103.358       -25.5154    
   103.368       -25.4942    
   103.379       -25.4725    
   103.389       -25.4491    
   103.399       -25.4229    
   103.410       -25.3925    
   103.420       -25.3579    
   103.430       -25.3204    
   103.441       -25.2825    
   103.451       -25.2469    
   103.462       -25.2157    
   103.472       -25.1901    
   103.482       -25.1704    
   103.493       -25.1559    
   103.503       -25.1449    
   103.513       -25.1353    
   103.524       -25.1258    
   103.534       -25.1164    
   103.544       -25.1083    
   103.555       -25.1027    
   103.565       -25.1007    
   103.575       -25.1025    
   103.586       -25.1077    
   103.596       -25.1155    
   103.607       -25.1250    
   103.617       -25.1346    
   103.627       -25.1430    
   103.638       -25.1488    
   103.648       -25.1516    
   103.658       -25.1518    
   103.669       -25.1512    
   103.679       -25.1519    
   103.690       -25.1556    
   103.700       -25.1632    
   103.710       -25.1742    
   103.721       -25.1873    
   103.731       -25.2015    
   103.741       -25.2157    
   103.752       -25.2296    
   103.762       -25.2422    
   103.773       -25.2532    
   103.783       -25.2624    
   103.793       -25.2707    
   103.804       -25.2796    
   103.814       -25.2897    
   103.825       -25.3012    
   103.835       -25.3127    
   103.845       -25.3228    
   103.856       -25.3302    
   103.866       -25.3345    
   103.877       -25.3364    
   103.887       -25.3365    
   103.897       -25.3357    
   103.908       -25.3347    
   103.918       -25.3340    
   103.929       -25.3343    
   103.939       -25.3361    
   103.949       -25.3399    
   103.960       -25.3451    
   103.970       -25.3509    
   103.981       -25.3560    
   103.991       -25.3595    
   104.001       -25.3614    
   104.012       -25.3620    
   104.022       -25.3622    
   104.033       -25.3627    
   104.043       -25.3640    
   104.053       -25.3663    
   104.064       -25.3694    
